Time (s),Volume (m^3),Ar,He,Ne,N2,C12H26(1),C6H13(16),C10H21(6),C2H5(7),C9H19(4),C3H7(5),C8H17(10),C4H9(11),C7H15(13),C5H11(14),CH3(19),C2H4(25),H(9),C6H13(35),C3H6(75),C10H21(55),C7H14(95),C7H14(139),C7H14(156),C7H14(155),C7H14(170),C7H14(184),C7H14(223),C7H14(224),C7H14(222),C7H14(240),C7H14(289),C7H14(288),C7H14(315),C7H14(268),C7H14(206),C7H14(347),C7H14(346),C7H14(314),C7H14(332),C7H14(313),C7H14(397),C7H14(239),C7H14(345),C4H7(159),C4H7(143),C4H7(453),C4H6(450),C4H6(445),C4H6(463),C3H7(77),C3H6(124),C4H6(447),C3H5(121)
1.2898869473384539e-17,33.257888000016266,0.98,0.0,0.0,0.0,0.019999999999510888,1.7863721059970763e-13,1.1128479115003671e-13,1.1128479637535965e-13,1.0332044147829138e-13,1.033204388052465e-13,9.472025334836303e-14,9.472025375664809e-14,9.046871456060998e-14,9.046871549523192e-14,3.734073733695851e-21,1.0571534017780319e-20,1.1699556565446346e-21,7.61200684679489e-21,1.2342982078816918e-22,3.780569705629531e-21,6.622847580297933e-22,2.716720711657544e-29,1.1929308795528482e-36,3.7655975106730465e-37,1.3954077693573803e-44,6.977038835871026e-45,2.917297187347714e-52,2.1317394265480004e-52,6.724269509113475e-53,3.366180583422986e-60,7.4008453090420556e-68,6.956144452738952e-68,2.256873817121045e-73,1.2165165703495687e-60,2.5444933977990276e-52,2.433794945659346e-60,9.354386981589033e-68,2.6165140804497356e-73,2.4116753545789834e-67,1.299831413068331e-68,3.414364164983767e-76,7.213027916986402e-61,1.6063365539286126e-69,5.580438684183623e-40,5.717585978620653e-34,1.94143798691006e-40,2.1162530763348062e-42,1.7570079688166996e-50,1.1313156079160012e-51,3.16059344826254e-22,2.0373639485781177e-34,9.375099706641274e-47,1.3266842088082204e-32
2.5808945610082184e-17,33.25788800003255,0.98,0.0,0.0,0.0,0.01999999999902135,3.5742960591262345e-13,2.226662585475362e-13,2.226662794624448e-13,2.0673064701249905e-13,2.0673063631335434e-13,1.895228007181108e-13,1.8952280235231484e-13,1.8101602786332625e-13,1.8101603160424956e-13,1.49460257718154e-20,4.2313685470795445e-20,4.682871623483783e-21,3.046786282326959e-20,4.940414023299537e-22,1.513213048877905e-20,2.650864948960653e-21,2.175028229230014e-28,1.910243388748113e-35,6.02986152179257e-36,4.469061249161957e-43,2.2345306175888445e-43,1.8686660758059547e-50,1.365479402835853e-50,4.3072110810443396e-51,4.312422977115092e-58,1.8962549141591075e-65,1.7823129295538148e-65,2.990252004769621e-71,1.5584828226347981e-58,1.6298677808869459e-50,3.1179412802750833e-58,2.3967940823634624e-65,3.4201479057548207e-71,1.5461879136058654e-65,3.330446532848179e-66,1.7496693861340435e-73,9.240629478572794e-59,4.1157783388623966e-67,8.935971616223858e-39,4.577543272604292e-33,3.1086479124545435e-39,3.3887614330940967e-41,5.627155219970877e-49,3.623254556023619e-50,1.2650609859059943e-21,1.6311311532844892e-33,1.501235766511748e-45,1.0621540304333224e-31
5.1629097883477467e-17,33.257888000065115,0.98,0.0,0.0,0.0,0.019999999998042275,7.150143454154127e-13,4.4542916614484225e-13,4.4542924983171325e-13,4.135510528315847e-13,4.135510100210774e-13,3.7912789588854554e-13,3.7912790242748896e-13,3.621106503947151e-13,3.621106653632809e-13,5.980356766651614e-20,1.6930985150411934e-19,1.8737586255667842e-20,1.2191112130683386e-19,1.976812743470833e-21,6.054822620392974e-20,1.0606912330820256e-20,1.7406832625802808e-27,3.0576325226171213e-34,9.651703093894891e-35,1.4307005010148712e-41,7.153502460305706e-42,1.1964567838443299e-48,8.742798808639121e-49,2.757791966122939e-49,5.522275665616215e-56,4.856508478093323e-63,4.564690493126587e-63,4.323549471047985e-69,1.9957165158469475e-56,1.0435607264439853e-48,3.992681573945993e-56,6.138441957223352e-63,4.71397592699394e-69,9.904294281946935e-64,8.529625976536418e-64,8.962183827294926e-71,1.183309342563442e-56,1.0540943702150742e-64,1.4303370726942087e-37,3.663422550380683e-32,4.97527742141071e-38,5.424222766395146e-40,1.8014462342640575e-47,1.1599280895986118e-48,5.0618912191060295e-21,1.3054025612784676e-32,2.402949547844699e-44,8.500460067756726e-31
1.0326940243026803e-16,33.25788800013024,0.98,0.0,0.0,0.0,0.019999999996084122,1.4301836199289001e-12,8.909548725487168e-13,8.909552073506435e-13,8.271918434724382e-13,8.271916722025961e-13,7.583380879531671e-13,7.58338114113188e-13,7.242998791613185e-13,7.242999390453259e-13,2.392531842392545e-19,6.7734960190839915e-19,7.496254651793011e-20,4.877237392379303e-19,7.908567125127224e-21,2.422322813333722e-19,4.24345531171654e-20,1.3928105105481206e-26,4.8932045089422834e-33,1.544586001069704e-33,4.579200473096044e-40,2.289600207890155e-40,7.658951473187265e-47,5.596581304827314e-47,1.7653623759335945e-47,7.070026016363409e-54,1.2435331958914603e-60,1.1688114567152603e-60,8.059069135486637e-67,2.5550651713864696e-54,6.680209781245286e-47,5.111726750809681e-54,1.5717786363827503e-60,7.737803049654112e-67,6.341521839265233e-62,2.1840541396567196e-61,4.589626847104202e-68,1.5149602383307973e-54,2.699062213489589e-62,2.2890039114350105e-36,2.931289400200337e-31,7.960195996520455e-37,8.680514573667608e-39,5.7658349624136846e-46,3.712543800928908e-47,2.0250856639249038e-20,1.0445234332395707e-31,3.845484476201714e-43,6.801659125380974e-30
2.065500115238492e-16,33.257888000260486,0.98,0.0,0.0,0.0,0.01999999999216782,2.8605213509881323e-12,1.782005850193788e-12,1.7820071895100814e-12,1.6544733407648825e-12,1.6544726556302657e-12,1.5167584789773839e-12,1.516758583625897e-12,1.448678271509834e-12,1.448678511065336e-12,9.5709040059415e-19,2.7096185026953686e-18,2.998745926713984e-19,1.9510526976886226e-18,3.163707458296229e-20,9.690075832188707e-19,1.697520029614403e-19,1.114353295608258e-25,7.829914072888808e-32,2.471586693848985e-32,1.4654957803689676e-38,7.32747871841743e-39,4.902242338778941e-45,3.5821877069677045e-45,1.1299505845167591e-45,9.050584491441262e-52,3.1837800366755876e-58,2.9924707665959124e-58,2.3234448202070212e-64,3.2708302021957807e-52,4.2757834901101375e-45,6.5436987264098796e-52,4.02417673068024e-58,1.8617756930477117e-64,4.0594499400018487e-60,5.5917716993273795e-59,2.3501380445587465e-65,1.9393530280435842e-52,6.910331887709298e-60,3.6627753821753275e-35,2.3452458007079065e-30,1.2731636217178778e-35,1.3890211245035973e-37,1.8452578969368565e-44,1.1881347219579591e-45,8.100998449117281e-20,8.357029669491193e-31,6.153346281865593e-42,5.441843248767739e-29
4.1311122971101145e-16,33.25788800052098,0.98,0.0,0.0,0.0,0.01999999998433522,5.721193541240588e-12,3.5641060648353918e-12,3.5641114223152943e-12,3.309035999392789e-12,3.30903325874687e-12,3.033599288605427e-12,3.0335997072158197e-12,2.8974347954681368e-12,2.897435753728958e-12,3.82851558275256e-18,1.0838911717209524e-17,1.199547200593021e-18,7.804520054814023e-18,1.2655529945068177e-19,3.876184848139478e-18,6.790354491850661e-19,8.9152349869704e-25,1.2528468942831136e-30,3.954732415508592e-31,4.689817531137472e-37,2.3449086481722006e-37,3.137589597475211e-43,2.2927136968006648e-43,7.232044057034361e-44,1.1585312484368106e-49,8.150871051171598e-56,7.661088032294363e-56,9.923621561333675e-62,4.1868743591279446e-50,2.7366380356346757e-43,8.376344341554057e-50,1.0302390243889893e-55,7.238908769868766e-62,3.433278486850526e-58,1.4315651550462478e-56,1.203330304005951e-62,2.4824930638069356e-50,1.7691332746607158e-57,5.860727616819309e-34,1.8762723105752746e-29,2.035256564318975e-34,2.222538849160412e-36,5.905114834444196e-43,3.802204197776868e-44,3.2405284581522406e-19,6.686019164785301e-30,9.845679466887322e-41,4.3536801331200545e-28
8.262336660853361e-16,33.25788800104198,0.98,0.0,0.0,0.0,0.01999999996867001,1.1442524834321182e-11,7.128299531541827e-12,7.128320961871296e-12,6.618159972821218e-12,6.618149010047025e-12,6.067281018177675e-12,6.067282692647768e-12,5.794946800430145e-12,5.79495063354999e-12,1.5314359477789387e-17,4.335650230226781e-17,4.798286583685881e-18,3.121864892906497e-17,5.062463103503217e-19,1.5505029179768638e-17,2.716195515363976e-18,7.132333924356528e-24,2.0045961544736872e-29,6.327708975344416e-30,1.5007711599008147e-35,7.503855048188174e-36,2.0080942436388647e-41,1.467364584316146e-41,4.628598625268312e-42,1.4829447325945818e-47,2.0866556542715138e-53,1.9612653457932647e-53,4.6569142227214905e-59,5.3593084165438095e-48,1.7514828900795612e-41,1.0721904582428368e-47,2.637452992098726e-53,3.2107898622899463e-59,2.205709040535904e-56,3.664876317512735e-54,6.161161320249534e-60,3.177644794867687e-48,4.529066215519906e-55,9.377367220555338e-33,1.5010320822802146e-28,3.250401698807151e-33,3.556127119571688e-35,1.889673124623527e-41,1.216720233553168e-42,1.2962355315385518e-18,5.349067155200902e-29,1.5752927075088953e-39,3.483024952239611e-27
1.6524785388339853e-15,33.25788800208396,0.98,0.0,0.0,0.0,0.019999999937339592,2.288513507110286e-11,1.4256658614786675e-11,1.4256744336767428e-11,1.3236402544372897e-11,1.323635869309023e-11,1.213464491856862e-11,1.2134651616472771e-11,1.1589966638538268e-11,1.158998197116222e-11,6.125794565475515e-17,1.7342756013156054e-16,1.9193342857190347e-17,1.2487533451270277e-16,2.025124347083592e-18,6.202054230840269e-17,1.0864880243402529e-17,5.70589748489999e-23,3.2073630924141838e-28,1.0124386903552658e-28,4.802467525806304e-34,2.401233282108333e-34,1.2851760727228129e-39,9.39111326080134e-40,2.9623002164971328e-40,1.8981559452868272e-45,5.3417892105050136e-51,5.020773050437863e-51,2.3298410599494224e-56,6.859917471069395e-46,1.1209483715154166e-39,1.372395439039938e-45,6.751816378292062e-51,1.5802652525593529e-56,1.4117211201597858e-54,9.382059052769894e-52,3.15449929713146e-57,4.0673585320643054e-46,1.1594374944672752e-52,1.5003865069206822e-31,1.2008058304882201e-27,5.181322495890577e-32,5.689794872383736e-34,6.0469487989483705e-40,3.8934470074084164e-41,5.184977080124459e-18,4.279504288300747e-28,2.52032125959608e-38,2.7864501083659476e-26
3.3049682843312835e-15,33.257888004167945,0.98,0.0,0.0,0.0,0.019999999874678757,4.577014614969017e-11,2.8513265381716883e-11,2.851360826971077e-11,2.6472866186290396e-11,2.6472690782349054e-11,2.426937448419072e-11,2.426940127558873e-11,2.317998962751096e-11,2.3180050958227523e-11,2.450321056780763e-16,6.937120627217553e-16,7.677377213992989e-17,4.994996266184476e-16,8.101486633370203e-18,2.4808178850429217e-16,4.345964328860752e-17,4.564685280280863e-22,5.131712652752271e-27,1.6198878213040562e-27,1.536759200821367e-32,7.683792927687818e-33,8.224907831642677e-38,6.010166419574101e-38,1.8958304537250265e-38,2.429556487562846e-43,1.3674451030032248e-48,1.2852579432746468e-48,1.185843649465246e-53,8.780524024388395e-44,7.173917224087742e-38,1.7566093335860567e-43,1.7283975664331884e-48,8.009122914473629e-54,9.034522483656594e-53,2.4017459923767547e-49,1.6150551796975237e-54,5.206045210719218e-44,2.9680821375788435e-50,2.4005975261574117e-30,9.605962851811886e-27,8.228808649698656e-31,9.103475035722035e-33,1.934982586255841e-38,1.2458420891136804e-39,2.073987148588897e-17,3.423943380850523e-27,4.031968384841119e-37,2.229168637965149e-25
4.9574580298285816e-15,33.25788800625193,0.98,0.0,0.0,0.0,0.019999999812017923,6.865494783584339e-11,4.276976075020016e-11,4.277048938581977e-11,3.970930832705688e-11,3.9708935596181105e-11,3.640410581450744e-11,3.6404162745792176e-11,3.476999592926009e-11,3.4770126257093836e-11,5.206926475023328e-16,1.4741378325529197e-15,1.6314452486474883e-16,1.0614320492974302e-15,1.721707727642774e-17,5.271721767272483e-16,9.235173512971751e-17,1.305206864915714e-21,1.888795851077323e-26,5.9622281923698274e-27,7.016228072793802e-32,3.5081123462482774e-32,4.518967995959375e-37,3.3021369084788317e-37,1.0416178732789126e-37,1.5673815981791775e-42,1.0154780171742065e-47,9.544430228319971e-48,9.968094387686231e-53,5.664611403696323e-43,3.941535141513664e-37,1.1332433338248979e-42,1.28352472064375e-47,6.729061285076514e-53,4.483317752467498e-52,1.783566182024059e-48,1.3585213715324944e-53,3.358580708146812e-43,2.204133929937992e-49,8.835741724348971e-30,2.7466209335863036e-26,3.0179786060312327e-30,3.3506435552733246e-32,8.834352302904072e-38,5.687950155299526e-39,4.4072083801610745e-17,9.790878035706539e-27,1.4839333536509266e-36,6.374031106769347e-25
