Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(9),H2(11),C2H3(14),C#C(20),C2H2(24),C3H7(16),C4H7(22),C4H7(41),C4H7(36),C4H6(42),C4H6(85),C4H6(65),C4H6(43),C4H7(26),C4H5(28),C4H5(180),C3H5(25)
1.86E-05,0.124290308,0,0,0,0,0.891326071,0.000420926,0.000280129,0.004190129,0.000126891,0.105274615,0.104879544,1.57E-06,0.000806079,5.35E-10,8.65E-08,2.96E-09,1.19E-11,8.35E-08,2.75E-06,4.44E-09,9.28E-08,2.38E-12,3.21E-11,9.30E-11,3.05E-15,7.04E-10
1.89E-05,0.124454434,0,0,0,0,0.8898571,0.000420799,0.000280888,0.004248432,0.000126754,0.106690629,0.106312926,1.60E-06,0.000828899,5.50E-10,8.75E-08,3.05E-09,1.23E-11,8.63E-08,2.88E-06,4.64E-09,9.69E-08,2.48E-12,3.31E-11,9.71E-11,3.18E-15,7.23E-10
1.91E-05,0.124617932,0,0,0,0,0.888394018,0.000420672,0.00028164,0.004306645,0.000126618,0.108100552,0.107740765,1.62E-06,0.000851966,5.65E-10,8.85E-08,3.15E-09,1.27E-11,8.91E-08,3.01E-06,4.85E-09,1.01E-07,2.59E-12,3.41E-11,1.01E-10,3.32E-15,7.42E-10
1.94E-05,0.124780807,0,0,0,0,0.886936772,0.000420543,0.000282384,0.004364767,0.000126484,0.109504439,0.10916311,1.65E-06,0.000875278,5.80E-10,8.95E-08,3.24E-09,1.31E-11,9.19E-08,3.14E-06,5.06E-09,1.06E-07,2.71E-12,3.52E-11,1.06E-10,3.46E-15,7.61E-10
1.96E-05,0.124943066,0,0,0,0,0.885485314,0.000420413,0.000283122,0.004422798,0.000126351,0.110902342,0.110580008,1.68E-06,0.000898833,5.96E-10,9.05E-08,3.34E-09,1.34E-11,9.48E-08,3.27E-06,5.27E-09,1.10E-07,2.82E-12,3.62E-11,1.10E-10,3.60E-15,7.80E-10
1.99E-05,0.125104713,0,0,0,0,0.884039593,0.000420281,0.000283853,0.004480741,0.000126219,0.112294311,0.111991506,1.70E-06,0.000922629,6.12E-10,9.15E-08,3.44E-09,1.38E-11,9.78E-08,3.41E-06,5.50E-09,1.15E-07,2.94E-12,3.73E-11,1.14E-10,3.75E-15,8.00E-10
2.01E-05,0.125265755,0,0,0,0,0.88259956,0.000420149,0.000284577,0.004538594,0.000126088,0.113680399,0.11339765,1.73E-06,0.000946663,6.28E-10,9.25E-08,3.54E-09,1.43E-11,1.01E-07,3.55E-06,5.73E-09,1.20E-07,3.06E-12,3.84E-11,1.19E-10,3.90E-15,8.19E-10
2.04E-05,0.125426194,0,0,0,0,0.881165168,0.000420015,0.000285295,0.004596358,0.000125958,0.115060654,0.114798486,1.75E-06,0.000970933,6.44E-10,9.34E-08,3.64E-09,1.47E-11,1.04E-07,3.70E-06,5.96E-09,1.24E-07,3.19E-12,3.95E-11,1.24E-10,4.05E-15,8.39E-10
2.06E-05,0.125586038,0,0,0,0,0.879736368,0.00041988,0.000286006,0.004654033,0.00012583,0.116435127,0.116194058,1.78E-06,0.000995438,6.60E-10,9.44E-08,3.75E-09,1.51E-11,1.07E-07,3.84E-06,6.20E-09,1.30E-07,3.32E-12,4.06E-11,1.29E-10,4.21E-15,8.59E-10
2.09E-05,0.125745291,0,0,0,0,0.878313114,0.000419744,0.00028671,0.00471162,0.000125702,0.117803865,0.117584412,1.81E-06,0.001020174,6.77E-10,9.54E-08,3.85E-09,1.55E-11,1.10E-07,4.00E-06,6.44E-09,1.35E-07,3.45E-12,4.17E-11,1.34E-10,4.37E-15,8.78E-10
2.11E-05,0.125903957,0,0,0,0,0.876895361,0.000419607,0.000287408,0.00476912,0.000125576,0.119166916,0.11896959,1.83E-06,0.001045139,6.93E-10,9.63E-08,3.96E-09,1.59E-11,1.13E-07,4.15E-06,6.70E-09,1.40E-07,3.58E-12,4.29E-11,1.39E-10,4.54E-15,8.99E-10
2.14E-05,0.126062042,0,0,0,0,0.875483062,0.000419469,0.0002881,0.004826532,0.000125451,0.120524329,0.120349635,1.86E-06,0.001070333,7.10E-10,9.73E-08,4.07E-09,1.64E-11,1.16E-07,4.31E-06,6.95E-09,1.45E-07,3.72E-12,4.40E-11,1.44E-10,4.71E-15,9.19E-10
2.16E-05,0.126219551,0,0,0,0,0.874076173,0.000419329,0.000288785,0.004883857,0.000125326,0.121876148,0.121724591,1.88E-06,0.001095751,7.27E-10,9.82E-08,4.18E-09,1.68E-11,1.20E-07,4.48E-06,7.22E-09,1.51E-07,3.86E-12,4.52E-11,1.49E-10,4.88E-15,9.39E-10
2.19E-05,0.126376487,0,0,0,0,0.87267465,0.000419189,0.000289465,0.004941095,0.000125203,0.123222421,0.123094497,1.91E-06,0.001121394,7.44E-10,9.91E-08,4.29E-09,1.72E-11,1.23E-07,4.64E-06,7.49E-09,1.56E-07,4.01E-12,4.64E-11,1.54E-10,5.06E-15,9.60E-10
2.22E-05,0.126532856,0,0,0,0,0.871278449,0.000419047,0.000290138,0.004998247,0.000125081,0.124563191,0.124459397,1.94E-06,0.001147258,7.61E-10,1.00E-07,4.40E-09,1.77E-11,1.26E-07,4.81E-06,7.76E-09,1.62E-07,4.16E-12,4.76E-11,1.60E-10,5.24E-15,9.80E-10
2.24E-05,0.126688663,0,0,0,0,0.869887528,0.000418905,0.000290805,0.005055313,0.00012496,0.125898504,0.125819329,1.96E-06,0.001173341,7.78E-10,1.01E-07,4.51E-09,1.81E-11,1.30E-07,4.99E-06,8.04E-09,1.68E-07,4.31E-12,4.88E-11,1.66E-10,5.42E-15,1.00E-09
2.27E-05,0.126843911,0,0,0,0,0.868501843,0.000418761,0.000291466,0.005112294,0.00012484,0.127228404,0.127174334,1.99E-06,0.001199642,7.96E-10,1.02E-07,4.62E-09,1.86E-11,1.33E-07,5.17E-06,8.33E-09,1.74E-07,4.46E-12,5.00E-11,1.71E-10,5.61E-15,1.02E-09
2.29E-05,0.126998606,0,0,0,0,0.867121354,0.000418617,0.000292121,0.005169189,0.000124721,0.128552934,0.128524453,2.01E-06,0.001226159,8.13E-10,1.03E-07,4.74E-09,1.91E-11,1.37E-07,5.35E-06,8.62E-09,1.80E-07,4.62E-12,5.12E-11,1.77E-10,5.80E-15,1.04E-09
2.32E-05,0.127152751,0,0,0,0,0.865746019,0.000418471,0.000292771,0.005225999,0.000124602,0.129872137,0.129869722,2.04E-06,0.00125289,8.31E-10,1.04E-07,4.86E-09,1.95E-11,1.40E-07,5.53E-06,8.92E-09,1.86E-07,4.78E-12,5.25E-11,1.83E-10,6.00E-15,1.06E-09
2.34E-05,0.127306351,0,0,0,0,0.864375798,0.000418325,0.000293415,0.005282724,0.000124485,0.131186054,0.131210181,2.07E-06,0.001279832,8.49E-10,1.05E-07,4.97E-09,2.00E-11,1.44E-07,5.72E-06,9.23E-09,1.93E-07,4.94E-12,5.38E-11,1.89E-10,6.20E-15,1.08E-09
2.37E-05,0.12745941,0,0,0,0,0.86301065,0.000418178,0.000294053,0.005339365,0.000124369,0.132494728,0.132545868,2.09E-06,0.001306985,8.67E-10,1.05E-07,5.09E-09,2.05E-11,1.47E-07,5.92E-06,9.54E-09,1.99E-07,5.11E-12,5.50E-11,1.95E-10,6.40E-15,1.11E-09
2.39E-05,0.127611933,0,0,0,0,0.861650537,0.00041803,0.000294685,0.005395922,0.000124253,0.1337982,0.13387682,2.12E-06,0.001334345,8.85E-10,1.06E-07,5.21E-09,2.10E-11,1.51E-07,6.12E-06,9.86E-09,2.06E-07,5.28E-12,5.63E-11,2.02E-10,6.61E-15,1.13E-09
2.42E-05,0.127763923,0,0,0,0,0.860295419,0.00041788,0.000295312,0.005452395,0.000124139,0.135096509,0.135203074,2.14E-06,0.001361913,9.03E-10,1.07E-07,5.34E-09,2.15E-11,1.55E-07,6.32E-06,1.02E-08,2.13E-07,5.45E-12,5.76E-11,2.08E-10,6.82E-15,1.15E-09
2.44E-05,0.127915384,0,0,0,0,0.858945257,0.00041773,0.000295933,0.005508785,0.000124025,0.136389697,0.136524666,2.17E-06,0.001389684,9.22E-10,1.08E-07,5.46E-09,2.20E-11,1.59E-07,6.52E-06,1.05E-08,2.20E-07,5.63E-12,5.89E-11,2.15E-10,7.03E-15,1.17E-09
2.47E-05,0.128066322,0,0,0,0,0.857600015,0.000417579,0.00029655,0.005565092,0.000123912,0.137677802,0.137841631,2.20E-06,0.001417659,9.40E-10,1.09E-07,5.58E-09,2.25E-11,1.62E-07,6.73E-06,1.09E-08,2.27E-07,5.81E-12,6.03E-11,2.21E-10,7.25E-15,1.19E-09
2.49E-05,0.128216739,0,0,0,0,0.856259653,0.000417428,0.00029716,0.005621317,0.0001238,0.138960863,0.139154006,2.22E-06,0.001445835,9.59E-10,1.10E-07,5.71E-09,2.30E-11,1.66E-07,6.95E-06,1.12E-08,2.34E-07,6.00E-12,6.16E-11,2.28E-10,7.47E-15,1.21E-09
2.52E-05,0.12836664,0,0,0,0,0.854924137,0.000417275,0.000297766,0.005677459,0.000123689,0.140238918,0.140461825,2.25E-06,0.00147421,9.78E-10,1.11E-07,5.84E-09,2.35E-11,1.70E-07,7.16E-06,1.16E-08,2.41E-07,6.18E-12,6.30E-11,2.35E-10,7.70E-15,1.24E-09
2.54E-05,0.128516028,0,0,0,0,0.853593428,0.000417122,0.000298366,0.005733519,0.000123579,0.141512007,0.141765123,2.27E-06,0.001502782,9.97E-10,1.11E-07,5.96E-09,2.40E-11,1.74E-07,7.39E-06,1.19E-08,2.49E-07,6.38E-12,6.43E-11,2.42E-10,7.93E-15,1.26E-09
2.57E-05,0.128664907,0,0,0,0,0.852267491,0.000416968,0.000298961,0.005789497,0.000123469,0.142780165,0.143063933,2.30E-06,0.001531551,1.02E-09,1.12E-07,6.09E-09,2.45E-11,1.78E-07,7.61E-06,1.23E-08,2.56E-07,6.57E-12,6.57E-11,2.49E-10,8.16E-15,1.28E-09
2.60E-05,0.128813282,0,0,0,0,0.850946291,0.000416813,0.000299551,0.005845393,0.000123361,0.14404343,0.144358289,2.32E-06,0.001560514,1.03E-09,1.13E-07,6.22E-09,2.50E-11,1.82E-07,7.84E-06,1.26E-08,2.64E-07,6.77E-12,6.71E-11,2.56E-10,8.40E-15,1.30E-09
2.62E-05,0.128961155,0,0,0,0,0.849629792,0.000416657,0.000300136,0.005901209,0.000123253,0.145301838,0.145648224,2.35E-06,0.00158967,1.05E-09,1.14E-07,6.36E-09,2.56E-11,1.86E-07,8.08E-06,1.30E-08,2.72E-07,6.97E-12,6.85E-11,2.64E-10,8.64E-15,1.32E-09
2.65E-05,0.129108531,0,0,0,0,0.848317959,0.0004165,0.000300716,0.005956943,0.000123146,0.146555426,0.146933772,2.38E-06,0.001619017,1.07E-09,1.15E-07,6.49E-09,2.61E-11,1.90E-07,8.31E-06,1.34E-08,2.80E-07,7.18E-12,7.00E-11,2.71E-10,8.89E-15,1.35E-09
2.67E-05,0.129255412,0,0,0,0,0.84701076,0.000416343,0.000301291,0.006012597,0.00012304,0.147804229,0.148214964,2.40E-06,0.001648553,1.09E-09,1.15E-07,6.62E-09,2.66E-11,1.94E-07,8.56E-06,1.38E-08,2.88E-07,7.39E-12,7.14E-11,2.79E-10,9.14E-15,1.37E-09
2.70E-05,0.129401804,0,0,0,0,0.845708159,0.000416185,0.000301861,0.006068171,0.000122934,0.149048281,0.149491831,2.43E-06,0.001678278,1.11E-09,1.16E-07,6.76E-09,2.72E-11,1.99E-07,8.80E-06,1.42E-08,2.97E-07,7.60E-12,7.28E-11,2.87E-10,9.39E-15,1.39E-09
2.72E-05,0.129547709,0,0,0,0,0.844410123,0.000416026,0.000302426,0.006123665,0.000122829,0.150287619,0.150764407,2.45E-06,0.001708188,1.13E-09,1.17E-07,6.90E-09,2.77E-11,2.03E-07,9.05E-06,1.46E-08,3.05E-07,7.81E-12,7.43E-11,2.95E-10,9.65E-15,1.42E-09
2.75E-05,0.12969313,0,0,0,0,0.84311662,0.000415867,0.000302987,0.006179079,0.000122725,0.151522275,0.152032721,2.48E-06,0.001738284,1.15E-09,1.18E-07,7.03E-09,2.83E-11,2.07E-07,9.31E-06,1.50E-08,3.14E-07,8.03E-12,7.58E-11,3.03E-10,9.91E-15,1.44E-09
2.77E-05,0.129838072,0,0,0,0,0.841827617,0.000415707,0.000303543,0.006234414,0.000122622,0.152752285,0.153296805,2.51E-06,0.001768562,1.17E-09,1.19E-07,7.17E-09,2.89E-11,2.11E-07,9.57E-06,1.54E-08,3.22E-07,8.26E-12,7.73E-11,3.11E-10,1.02E-14,1.46E-09
2.80E-05,0.129982538,0,0,0,0,0.840543082,0.000415546,0.000304094,0.006289669,0.000122519,0.15397768,0.154556688,2.53E-06,0.001799023,1.19E-09,1.19E-07,7.31E-09,2.94E-11,2.16E-07,9.83E-06,1.58E-08,3.31E-07,8.48E-12,7.87E-11,3.19E-10,1.04E-14,1.48E-09
2.82E-05,0.13012653,0,0,0,0,0.839262983,0.000415385,0.00030464,0.006344846,0.000122418,0.155198495,0.155812401,2.56E-06,0.001829663,1.21E-09,1.20E-07,7.46E-09,3.00E-11,2.20E-07,1.01E-05,1.63E-08,3.40E-07,8.72E-12,8.03E-11,3.27E-10,1.07E-14,1.51E-09
2.85E-05,0.130270053,0,0,0,0,0.837987288,0.000415223,0.000305182,0.006399944,0.000122316,0.156414761,0.157063973,2.58E-06,0.001860483,1.23E-09,1.21E-07,7.60E-09,3.06E-11,2.24E-07,1.04E-05,1.67E-08,3.49E-07,8.95E-12,8.18E-11,3.36E-10,1.10E-14,1.53E-09
2.87E-05,0.130398825,0,0,0,0,0.836842904,0.000415076,0.000305666,0.006449466,0.000122226,0.157505539,0.158186872,2.61E-06,0.001888372,1.25E-09,1.22E-07,7.73E-09,3.11E-11,2.29E-07,1.06E-05,1.71E-08,3.58E-07,9.16E-12,8.32E-11,3.44E-10,1.13E-14,1.55E-09
2.89E-05,0.130527221,0,0,0,0,0.83570204,0.000414929,0.000306147,0.006498924,0.000122136,0.158592681,0.159306462,2.63E-06,0.001916403,1.27E-09,1.22E-07,7.86E-09,3.16E-11,2.33E-07,1.09E-05,1.75E-08,3.66E-07,9.38E-12,8.45E-11,3.52E-10,1.15E-14,1.57E-09
2.92E-05,0.130655245,0,0,0,0,0.834564674,0.000414782,0.000306623,0.00654832,0.000122046,0.159676212,0.160422763,2.65E-06,0.001944576,1.29E-09,1.23E-07,7.99E-09,3.21E-11,2.37E-07,1.11E-05,1.79E-08,3.75E-07,9.60E-12,8.59E-11,3.59E-10,1.18E-14,1.59E-09
2.94E-05,0.130782897,0,0,0,0,0.833430785,0.000414634,0.000307097,0.006597652,0.000121958,0.160756154,0.161535796,2.68E-06,0.00197289,1.31E-09,1.24E-07,8.12E-09,3.27E-11,2.41E-07,1.14E-05,1.84E-08,3.83E-07,9.82E-12,8.74E-11,3.68E-10,1.20E-14,1.61E-09
2.96E-05,0.130910182,0,0,0,0,0.83230035,0.000414485,0.000307566,0.006646922,0.000121869,0.16183253,0.162645582,2.70E-06,0.002001343,1.33E-09,1.24E-07,8.25E-09,3.32E-11,2.45E-07,1.16E-05,1.88E-08,3.92E-07,1.01E-11,8.88E-11,3.76E-10,1.23E-14,1.63E-09
2.99E-05,0.1310371,0,0,0,0,0.831173349,0.000414337,0.000308033,0.00669613,0.000121782,0.162905361,0.163752141,2.72E-06,0.002029934,1.35E-09,1.25E-07,8.39E-09,3.37E-11,2.49E-07,1.19E-05,1.92E-08,4.01E-07,1.03E-11,9.02E-11,3.84E-10,1.26E-14,1.66E-09
3.01E-05,0.131163654,0,0,0,0,0.83004976,0.000414187,0.000308495,0.006745275,0.000121694,0.16397467,0.164855492,2.75E-06,0.002058663,1.37E-09,1.26E-07,8.52E-09,3.43E-11,2.53E-07,1.22E-05,1.96E-08,4.10E-07,1.05E-11,9.16E-11,3.92E-10,1.28E-14,1.68E-09
3.03E-05,0.131289847,0,0,0,0,0.828929563,0.000414037,0.000308955,0.006794358,0.000121607,0.165040478,0.165955656,2.77E-06,0.002087529,1.38E-09,1.26E-07,8.66E-09,3.48E-11,2.58E-07,1.25E-05,2.01E-08,4.20E-07,1.07E-11,9.31E-11,4.01E-10,1.31E-14,1.70E-09
3.05E-05,0.13141568,0,0,0,0,0.827812736,0.000413887,0.000309411,0.00684338,0.000121521,0.166102807,0.167052652,2.79E-06,0.00211653,1.40E-09,1.27E-07,8.80E-09,3.54E-11,2.62E-07,1.27E-05,2.05E-08,4.29E-07,1.10E-11,9.45E-11,4.09E-10,1.34E-14,1.72E-09
3.08E-05,0.131541156,0,0,0,0,0.82669926,0.000413736,0.000309863,0.00689234,0.000121435,0.167161679,0.168146499,2.82E-06,0.002145665,1.42E-09,1.28E-07,8.93E-09,3.59E-11,2.66E-07,1.30E-05,2.10E-08,4.38E-07,1.12E-11,9.60E-11,4.18E-10,1.37E-14,1.74E-09
3.10E-05,0.131666277,0,0,0,0,0.825589113,0.000413585,0.000310312,0.006941238,0.00012135,0.168217114,0.169237217,2.84E-06,0.002174934,1.44E-09,1.28E-07,9.07E-09,3.65E-11,2.71E-07,1.33E-05,2.14E-08,4.48E-07,1.15E-11,9.75E-11,4.27E-10,1.40E-14,1.76E-09
3.12E-05,0.131791044,0,0,0,0,0.824482276,0.000413434,0.000310758,0.006990076,0.000121265,0.169269134,0.170324824,2.86E-06,0.002204336,1.46E-09,1.29E-07,9.21E-09,3.71E-11,2.75E-07,1.36E-05,2.19E-08,4.57E-07,1.17E-11,9.90E-11,4.36E-10,1.43E-14,1.78E-09
3.14E-05,0.131915461,0,0,0,0,0.823378729,0.000413282,0.000311201,0.007038852,0.000121181,0.170317758,0.171409339,2.89E-06,0.002233869,1.48E-09,1.29E-07,9.35E-09,3.76E-11,2.79E-07,1.39E-05,2.24E-08,4.67E-07,1.20E-11,1.00E-10,4.45E-10,1.46E-14,1.81E-09
3.17E-05,0.13203953,0,0,0,0,0.822278452,0.000413129,0.000311641,0.007087567,0.000121097,0.171363008,0.172490781,2.91E-06,0.002263532,1.50E-09,1.30E-07,9.50E-09,3.82E-11,2.84E-07,1.42E-05,2.28E-08,4.77E-07,1.22E-11,1.02E-10,4.54E-10,1.49E-14,1.83E-09
3.19E-05,0.132163251,0,0,0,0,0.821181425,0.000412976,0.000312077,0.007136222,0.000121014,0.172404904,0.173569168,2.93E-06,0.002293326,1.52E-09,1.31E-07,9.64E-09,3.88E-11,2.88E-07,1.45E-05,2.33E-08,4.87E-07,1.25E-11,1.03E-10,4.63E-10,1.52E-14,1.85E-09
3.21E-05,0.132286628,0,0,0,0,0.820087631,0.000412823,0.00031251,0.007184816,0.000120931,0.173443466,0.174644518,2.96E-06,0.002323249,1.54E-09,1.31E-07,9.78E-09,3.93E-11,2.93E-07,1.48E-05,2.38E-08,4.97E-07,1.27E-11,1.05E-10,4.72E-10,1.55E-14,1.87E-09
3.24E-05,0.132409662,0,0,0,0,0.818997048,0.000412669,0.00031294,0.007233349,0.000120848,0.174478713,0.17571685,2.98E-06,0.002353299,1.56E-09,1.32E-07,9.93E-09,3.99E-11,2.97E-07,1.51E-05,2.43E-08,5.08E-07,1.30E-11,1.07E-10,4.82E-10,1.58E-14,1.89E-09
3.26E-05,0.132532356,0,0,0,0,0.817909659,0.000412515,0.000313367,0.007281823,0.000120766,0.175510666,0.17678618,3.00E-06,0.002383476,1.58E-09,1.32E-07,1.01E-08,4.05E-11,3.02E-07,1.54E-05,2.48E-08,5.18E-07,1.33E-11,1.08E-10,4.91E-10,1.61E-14,1.91E-09
3.28E-05,0.132654711,0,0,0,0,0.816825444,0.000412361,0.000313791,0.007330237,0.000120685,0.176539344,0.177852528,3.03E-06,0.00241378,1.60E-09,1.33E-07,1.02E-08,4.11E-11,3.07E-07,1.57E-05,2.53E-08,5.29E-07,1.35E-11,1.10E-10,5.01E-10,1.64E-14,1.94E-09
3.30E-05,0.132776729,0,0,0,0,0.815744386,0.000412206,0.000314212,0.007378591,0.000120604,0.177564766,0.178915909,3.05E-06,0.002444209,1.62E-09,1.34E-07,1.04E-08,4.17E-11,3.11E-07,1.60E-05,2.58E-08,5.39E-07,1.38E-11,1.11E-10,5.10E-10,1.67E-14,1.96E-09
3.33E-05,0.132898413,0,0,0,0,0.814666465,0.000412051,0.000314629,0.007426885,0.000120523,0.178586951,0.179976342,3.07E-06,0.002474762,1.64E-09,1.34E-07,1.05E-08,4.23E-11,3.16E-07,1.63E-05,2.63E-08,5.50E-07,1.41E-11,1.13E-10,5.20E-10,1.70E-14,1.98E-09
3.35E-05,0.133019764,0,0,0,0,0.813591664,0.000411895,0.000315044,0.00747512,0.000120443,0.179605918,0.181033844,3.09E-06,0.002505439,1.66E-09,1.35E-07,1.07E-08,4.29E-11,3.21E-07,1.66E-05,2.68E-08,5.61E-07,1.44E-11,1.14E-10,5.30E-10,1.74E-14,2.00E-09
3.37E-05,0.133140784,0,0,0,0,0.812519965,0.000411739,0.000315456,0.007523295,0.000120363,0.180621686,0.182088431,3.12E-06,0.002536238,1.68E-09,1.35E-07,1.08E-08,4.35E-11,3.25E-07,1.70E-05,2.74E-08,5.72E-07,1.46E-11,1.16E-10,5.40E-10,1.77E-14,2.02E-09
3.40E-05,0.133261475,0,0,0,0,0.81145135,0.000411583,0.000315864,0.007571412,0.000120284,0.181634273,0.18314012,3.14E-06,0.002567159,1.70E-09,1.36E-07,1.10E-08,4.41E-11,3.30E-07,1.73E-05,2.79E-08,5.83E-07,1.49E-11,1.18E-10,5.50E-10,1.80E-14,2.05E-09
3.42E-05,0.133381839,0,0,0,0,0.810385801,0.000411426,0.00031627,0.00761947,0.000120205,0.182643698,0.184188928,3.16E-06,0.002598202,1.72E-09,1.37E-07,1.11E-08,4.47E-11,3.35E-07,1.76E-05,2.84E-08,5.94E-07,1.52E-11,1.19E-10,5.60E-10,1.84E-14,2.07E-09
3.44E-05,0.133501877,0,0,0,0,0.809323301,0.000411269,0.000316673,0.007667468,0.000120126,0.183649979,0.185234871,3.19E-06,0.002629364,1.74E-09,1.37E-07,1.13E-08,4.53E-11,3.40E-07,1.80E-05,2.90E-08,6.06E-07,1.55E-11,1.21E-10,5.71E-10,1.87E-14,2.09E-09
3.46E-05,0.133621593,0,0,0,0,0.808263832,0.000411112,0.000317073,0.007715409,0.000120048,0.184653133,0.186277966,3.21E-06,0.002660645,1.76E-09,1.38E-07,1.14E-08,4.59E-11,3.45E-07,1.83E-05,2.95E-08,6.17E-07,1.58E-11,1.22E-10,5.81E-10,1.90E-14,2.11E-09
3.48E-05,0.133729061,0,0,0,0,0.807312887,0.00041097,0.000317431,0.007758505,0.000119978,0.185553315,0.18721433,3.23E-06,0.0026889,1.78E-09,1.38E-07,1.16E-08,4.65E-11,3.49E-07,1.86E-05,3.00E-08,6.28E-07,1.61E-11,1.24E-10,5.91E-10,1.93E-14,2.13E-09
3.50E-05,0.133825561,0,0,0,0,0.806459115,0.000410842,0.000317751,0.007797251,0.000119915,0.186361336,0.188055106,3.25E-06,0.002714411,1.80E-09,1.39E-07,1.17E-08,4.70E-11,3.53E-07,1.89E-05,3.05E-08,6.37E-07,1.63E-11,1.25E-10,5.99E-10,1.96E-14,2.15E-09
3.52E-05,0.133921853,0,0,0,0,0.805607301,0.000410714,0.000318069,0.00783596,0.000119853,0.187167337,0.188894041,3.27E-06,0.002739999,1.82E-09,1.39E-07,1.18E-08,4.75E-11,3.57E-07,1.92E-05,3.09E-08,6.47E-07,1.66E-11,1.26E-10,6.08E-10,1.99E-14,2.17E-09
3.54E-05,0.134017936,0,0,0,0,0.804757437,0.000410586,0.000318385,0.00787463,0.000119791,0.187971328,0.189731144,3.29E-06,0.002765663,1.83E-09,1.40E-07,1.19E-08,4.80E-11,3.61E-07,1.95E-05,3.14E-08,6.56E-07,1.68E-11,1.28E-10,6.17E-10,2.02E-14,2.19E-09
3.56E-05,0.134113812,0,0,0,0,0.803909514,0.000410457,0.0003187,0.007913262,0.000119729,0.188773318,0.190566423,3.30E-06,0.002791403,1.85E-09,1.40E-07,1.21E-08,4.85E-11,3.65E-07,1.98E-05,3.19E-08,6.66E-07,1.71E-11,1.29E-10,6.25E-10,2.05E-14,2.20E-09
3.58E-05,0.134209482,0,0,0,0,0.803063523,0.000410329,0.000319012,0.007951856,0.000119667,0.189573316,0.191399887,3.32E-06,0.002817218,1.87E-09,1.41E-07,1.22E-08,4.90E-11,3.69E-07,2.01E-05,3.23E-08,6.76E-07,1.73E-11,1.31E-10,6.34E-10,2.08E-14,2.22E-09
3.60E-05,0.134304947,0,0,0,0,0.802219456,0.0004102,0.000319323,0.007990413,0.000119605,0.190371331,0.192231544,3.34E-06,0.002843109,1.89E-09,1.41E-07,1.23E-08,4.95E-11,3.73E-07,2.04E-05,3.28E-08,6.86E-07,1.76E-11,1.32E-10,6.43E-10,2.11E-14,2.24E-09
3.61E-05,0.134400207,0,0,0,0,0.801377304,0.000410071,0.000319632,0.008028932,0.000119544,0.191167372,0.193061402,3.36E-06,0.002869075,1.90E-09,1.41E-07,1.24E-08,5.00E-11,3.77E-07,2.06E-05,3.33E-08,6.96E-07,1.78E-11,1.33E-10,6.52E-10,2.14E-14,2.26E-09
3.63E-05,0.134495264,0,0,0,0,0.800537058,0.000409941,0.00031994,0.008067413,0.000119483,0.191961448,0.193889468,3.38E-06,0.002895114,1.92E-09,1.42E-07,1.26E-08,5.06E-11,3.81E-07,2.09E-05,3.38E-08,7.06E-07,1.81E-11,1.35E-10,6.61E-10,2.17E-14,2.28E-09
3.65E-05,0.134590119,0,0,0,0,0.799698711,0.000409812,0.000320245,0.008105857,0.000119423,0.192753567,0.194715752,3.40E-06,0.002921228,1.94E-09,1.42E-07,1.27E-08,5.11E-11,3.85E-07,2.12E-05,3.43E-08,7.16E-07,1.83E-11,1.36E-10,6.70E-10,2.20E-14,2.29E-09
3.67E-05,0.134684771,0,0,0,0,0.798862252,0.000409682,0.000320549,0.008144263,0.000119362,0.193543739,0.19554026,3.42E-06,0.002947415,1.95E-09,1.43E-07,1.28E-08,5.16E-11,3.90E-07,2.16E-05,3.48E-08,7.26E-07,1.86E-11,1.37E-10,6.80E-10,2.23E-14,2.31E-09
3.69E-05,0.134779223,0,0,0,0,0.798027675,0.000409552,0.000320851,0.008182632,0.000119302,0.194331972,0.196363001,3.44E-06,0.002973676,1.97E-09,1.43E-07,1.30E-08,5.21E-11,3.94E-07,2.19E-05,3.52E-08,7.37E-07,1.89E-11,1.39E-10,6.89E-10,2.26E-14,2.33E-09
3.71E-05,0.134873476,0,0,0,0,0.797194971,0.000409422,0.000321151,0.008220964,0.000119242,0.195118275,0.197183982,3.45E-06,0.003000008,1.99E-09,1.44E-07,1.31E-08,5.26E-11,3.98E-07,2.22E-05,3.57E-08,7.47E-07,1.91E-11,1.40E-10,6.98E-10,2.29E-14,2.35E-09
3.72E-05,0.134967529,0,0,0,0,0.796364131,0.000409292,0.00032145,0.008259259,0.000119182,0.195902656,0.198003212,3.47E-06,0.003026414,2.01E-09,1.44E-07,1.32E-08,5.32E-11,4.02E-07,2.25E-05,3.62E-08,7.58E-07,1.94E-11,1.41E-10,7.08E-10,2.32E-14,2.37E-09
3.74E-05,0.135061384,0,0,0,0,0.795535148,0.000409162,0.000321747,0.008297516,0.000119123,0.196685124,0.198820698,3.49E-06,0.003052891,2.02E-09,1.44E-07,1.34E-08,5.37E-11,4.06E-07,2.28E-05,3.68E-08,7.68E-07,1.97E-11,1.43E-10,7.17E-10,2.35E-14,2.39E-09
