Time (s),Volume (m^3),Ar,He,Ne,N2,C7H16(1),C2H5(7),C5H11(6),C4H9(4),C3H7(5),C2H4(17),CH3(12),H(9),H2(49),C2H3(42),C#C(51),C3H6(85)
1.384318423514413e-12,41.57236071044785,0.98,0.0,0.0,0.0,0.01999998291069739,1.0084034315642082e-08,1.0083929776964876e-08,7.005264584435006e-09,7.005359317746807e-09,1.2547310751169542e-13,1.3515053703956393e-14,3.7096883026723815e-15,4.065233661235771e-30,3.052048489447829e-25,2.6688130861310544e-32,2.016652968739224e-45
2.347322553093447e-12,41.57236120467824,0.98,0.0,0.0,0.0,0.019999971022495372,1.7099037932897225e-08,1.709873772090097e-08,1.187845604122476e-08,1.1878728094082968e-08,3.603315158903592e-13,3.8812598576550213e-14,1.0653460532006536e-14,3.571841782114627e-29,1.525155753968717e-24,2.398196108403738e-31,5.516129562061505e-44
4.273330812251515e-12,41.572362193153225,0.98,0.0,0.0,0.0,0.019999947246112534,3.112910223609462e-08,3.112810770331927e-08,2.1624749934824093e-08,2.162565118090612e-08,1.1936979246820255e-12,1.2857951199726517e-13,3.529281868510011e-14,4.132386271850017e-28,9.454578289845367e-24,2.8529148657080673e-30,2.229069249737075e-42
8.12534733056765e-12,41.57236417016016,0.98,0.0,0.0,0.0,0.01999989969343166,5.9189459111115296e-08,5.918586407865866e-08,4.1116981648284806e-08,4.1120239453907043e-08,4.31499638688317e-12,4.648058663719575e-13,1.2757903203706018e-13,5.577473543476663e-27,6.624655184459936e-23,3.930394197786738e-29,1.1208712100815666e-40
1e-11,41.57236614724301,0.98,0.0,0.0,0.0,0.019999876551110705,7.284564328923482e-08,7.284019816417145e-08,5.060305276711999e-08,5.0607987109999376e-08,6.535615969270898e-12,7.04018424665307e-13,1.9323624080058026e-13,1.2699434131180404e-26,1.2259151182322618e-22,8.768731451417192e-29,3.8415628667030785e-40
1.1977363848883786e-11,41.57236614724301,0.98,0.0,0.0,0.0,0.01999985214086385,8.72501203366558e-08,8.724230904204038e-08,6.060873860429453e-08,6.061581714520586e-08,9.37567518746705e-12,1.0099626601493985e-12,2.7720895625184893e-13,2.3481466581190878e-26,2.0239055382636657e-22,1.6046335273769845e-28,8.26231856576105e-40
1.968139688551606e-11,41.57237010163647,0.98,0.0,0.0,0.0,0.019999757036067416,1.4337235578278726e-07,1.433512650348974e-07,9.959082829893104e-08,9.96099404281345e-08,2.531487569684331e-11,2.727121726894769e-12,7.485030414072613e-13,1.7478542486300991e-25,8.996680613282487e-22,1.1821360797700712e-27,1.8483648155839043e-38
2.6615026618485105e-11,41.572373660850225,0.98,0.0,0.0,0.0,0.0199996714421373,1.9388340845462774e-07,1.9384484097952428e-07,1.3467308545889296e-07,1.3470803451167538e-07,4.6292265202766026e-11,4.9872115811916406e-12,1.3687892623034017e-12,5.4187245409075e-25,2.158672508177539e-21,3.593998352419625e-27,9.281592775430959e-38
3.354865635145415e-11,41.57237722030995,0.98,0.0,0.0,0.0,0.019999585848573503,2.4439544705071196e-07,2.443341688664613e-07,1.697538045709415e-07,1.6980933323204944e-07,7.355234362354516e-11,7.924401887522607e-12,2.1748787490678496e-12,1.3138235747445442e-24,4.2449646841096044e-21,8.583970708161202e-27,3.2973545928441245e-37
4.048228608442319e-11,41.57238078001561,0.98,0.0,0.0,0.0,0.019999500255376022,2.949084715105146e-07,2.948192490196431e-07,2.0483298569364832e-07,2.0491383620796593e-07,1.0709479225452215e-10,1.15387514994273e-11,3.1667749528328794e-12,2.707031386377181e-24,7.36047787206736e-21,1.7459477664616785e-26,9.488306848239941e-37
